,len of url,no of dots,security sensitive words,no of hyphens in dom,dir_len,no of subdir,domain len,domain token count,path token count,ip present,largest domain_tok_len,avg_dom_token_len,largest path token length,avg path token length,suspicious tld,len_of_file,total dots in file,total delims in file,len_of_argument,no_of_variables,len_of_largest_variable_val,max_no_of_argum_delims,create_age(months),expiry_age(months),update_age(days),zipcode,Label,URL
0,107.0,2.0,1.0,0.0,62.0,6.0,12.0,2.0,6.0,0.0,9.0,5.5,18.0,9.166666666666666,0.0,33.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://techbells.in/security/b2020123/1/index2.php?httpss:/account_1und1_de/home/particulares_esassistancedesktop=
1,20.0,3.0,0.0,1.0,1.0,0.0,19.0,4.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://www.bonn-arte.co.uk/
2,37.0,1.0,0.0,0.0,9.0,1.0,28.0,2.0,1.0,0.0,24.0,13.5,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://privateinvestigatormilan.com/Netflix/
3,92.0,2.0,0.0,0.0,70.0,8.0,22.0,3.0,8.0,0.0,14.0,6.666666666666667,11.0,7.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://www.psmkreditsyari.com/wp-content/plugins/js_composer/include/templates/shortcodes/web/home/
4,79.0,2.0,1.0,0.0,45.0,6.0,25.0,2.0,6.0,0.0,21.0,12.0,11.0,6.333333333333333,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://9dollarsintothousands.com/wp-includes/Text/Diff/Engine/wp-content/ali/login.php
5,87.0,1.0,0.0,0.0,65.0,7.0,18.0,2.0,7.0,0.0,14.0,8.5,11.0,8.142857142857142,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://psmkreditsyari.com/wp-content/plugins/js_composer/include/templates/shortcodes/web/home
6,13.0,1.0,0.0,0.0,1.0,0.0,7.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://cutt.us/rHqRx
7,37.0,2.0,0.0,0.0,12.0,1.0,25.0,3.0,1.0,0.0,13.0,7.666666666666667,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://verifikasi277.webnode.com/verifikasi/
8,35.0,2.0,1.0,0.0,7.0,1.0,24.0,3.0,1.0,0.0,16.0,7.333333333333333,5.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://www.learnwithportals.com/login/home
9,52.0,1.0,0.0,0.0,23.0,3.0,23.0,2.0,3.0,0.0,19.0,11.0,7.0,6.333333333333333,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://ignitemarketingpros.com/Service/Postale/bf1c7/source
10,36.0,2.0,1.0,0.0,12.0,2.0,24.0,3.0,2.0,0.0,16.0,7.333333333333333,5.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://www.learnwithportals.com/login/home/
11,12.0,1.0,0.0,0.0,1.0,0.0,7.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://urlz.fr/dFdu
12,77.0,3.0,0.0,0.0,12.0,2.0,24.0,2.0,2.0,0.0,21.0,11.5,7.0,4.5,0.0,7.0,1.0,0.0,34.0,1.0,28.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://chivasgrillconcepcion.cl/dh/DHLAUTO/dhl.php?rand=13InboxLightaspxn.1774256418
13,27.0,3.0,0.0,0.0,12.0,2.0,12.0,4.0,2.0,1.0,3.0,2.25,7.0,4.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://13.66.28.137/US/webapps/mpp
14,14.0,1.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0,3.0,2.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,https://bit.ly/3kUeRuz
